,applications,acceptances,per_pupil_spending,avg_class_size,asian_percent,black_percent,hispanic_percent,multiple_percent,white_percent,rigorous_instruction,collaborative_teachers,supportive_environment,effective_school_leadership,strong_family_community_ties,trust,disability_percent,poverty_percent,ESL_percent,school_size,student_achievement,reading_scores_exceed,math_scores_exceed,acceptance_rate,percentile
428,117,9,17334.0,24.88,33.2,39.5,19.7,3.8,3.8,3.8,3.39,3.21,3.64,3.04,3.08,14.5,66.7,7.9,1108.0,2.56,0.54,0.41,0.08,75-100th
429,10,0,18240.0,23.9,6.8,54.0,35.2,2.3,1.6,3.45,3.27,2.75,3.37,3.39,3.17,22.3,78.2,15.9,792.0,2.53,0.34,0.29,0.0,0-25th
430,10,0,18828.0,24.03,3.0,80.6,11.1,2.1,3.1,3.79,3.94,3.3,3.98,3.98,3.94,17.3,78.6,5.2,763.0,3.06,0.36,0.26,0.0,0-25th
431,9,0,17979.0,25.85,2.2,89.0,6.6,1.2,1.0,3.59,3.55,3.16,3.48,2.57,3.19,18.0,72.3,5.2,593.0,1.96,0.42,0.33,0.0,0-25th
432,18,1,19444.0,18.21,3.7,78.4,9.9,6.8,1.2,3.76,3.72,4.27,3.91,4.52,4.25,22.2,72.0,8.4,486.0,2.65,0.38,0.23,0.06,25-50th
433,28,2,20096.0,27.66,7.8,74.4,13.3,3.4,1.1,4.2,4.34,3.24,3.53,3.83,3.46,18.7,45.8,0.4,707.0,2.54,0.65,0.58,0.07,50-75th
434,123,2,17610.0,22.1,28.6,36.7,28.1,4.6,2.1,3.16,3.06,2.56,3.36,2.81,2.81,13.4,89.7,16.7,1404.0,2.47,0.46,0.37,0.02,75-100th
435,6,0,16418.0,15.64,5.7,85.6,5.0,2.6,1.2,2.92,3.06,3.19,3.03,3.87,3.51,16.3,73.9,3.8,583.0,2.38,0.53,0.4,0.0,0-25th
436,27,1,19097.0,22.52,27.8,28.5,32.1,9.3,2.2,4.09,3.66,3.64,3.87,3.94,3.57,13.9,78.2,16.5,632.0,2.43,0.54,0.5,0.04,50-75th
437,35,2,18383.0,29.0,0.5,96.0,2.1,1.3,0.0,3.51,3.58,3.12,3.45,3.35,3.33,16.1,65.2,0.4,753.0,2.19,0.58,0.46,0.06,50-75th
438,10,0,17164.0,15.35,2.6,88.4,5.3,3.1,0.7,4.25,4.28,3.33,3.51,3.89,3.14,16.2,68.7,1.5,588.0,3.95,0.53,0.38,0.0,0-25th
439,21,1,26059.0,16.0,0.0,88.2,5.9,4.9,1.0,4.28,4.33,2.81,3.88,2.61,3.31,18.6,74.5,2.5,204.0,1.75,0.44,0.29,0.05,25-50th
440,27,2,19399.0,26.48,36.5,24.0,29.4,6.7,3.4,3.5,3.49,3.62,2.14,3.44,2.98,16.7,77.4,9.5,496.0,3.65,0.62,0.57,0.07,50-75th
441,0,0,22617.0,17.25,1.3,88.5,3.2,5.1,1.9,3.4,2.96,2.96,3.56,3.56,3.17,25.4,71.9,0.8,531.0,2.57,0.34,0.2,,0-25th
442,17,1,19142.0,17.88,1.6,86.6,9.2,2.3,0.3,3.26,4.38,3.7,3.91,3.64,3.75,26.6,77.0,4.6,305.0,2.09,0.39,0.23,0.06,25-50th
443,9,0,18845.0,20.26,1.7,86.4,9.6,1.7,0.7,2.97,3.53,2.68,2.68,3.33,3.73,26.5,71.2,5.6,302.0,3.12,0.32,0.19,0.0,0-25th
444,56,2,17696.0,23.05,20.0,6.7,56.1,1.1,16.1,3.68,3.94,3.23,3.79,2.73,3.87,17.9,76.9,16.3,741.0,4.09,0.46,0.39,0.04,75-100th
445,14,1,20564.0,26.93,22.1,3.7,28.5,5.8,39.9,4.41,3.54,3.5,3.0,4.06,3.08,10.9,26.9,4.5,706.0,3.69,0.76,0.74,0.07,25-50th
446,0,0,27276.0,17.35,4.1,49.7,41.8,1.3,3.2,3.33,3.51,3.13,3.67,2.57,2.36,30.4,95.6,14.2,316.0,2.4,0.19,0.17,,0-25th
447,74,49,15801.0,30.94,26.2,5.0,20.2,5.2,43.4,4.22,4.2,3.96,3.13,3.55,3.83,9.3,53.3,7.9,1361.0,4.19,0.8,0.81,0.66,75-100th
448,59,19,21750.0,20.42,28.3,16.7,45.7,0.5,8.8,4.21,3.34,3.14,3.5,2.83,3.48,20.5,86.5,8.4,658.0,3.24,0.48,0.42,0.32,75-100th
449,28,2,14927.0,23.77,13.1,10.8,74.1,0.5,1.6,3.32,3.43,3.02,2.96,2.65,3.2,15.5,84.9,28.7,1299.0,3.32,0.39,0.36,0.07,50-75th
