,applications,acceptances,per_pupil_spending,avg_class_size,asian_percent,black_percent,hispanic_percent,multiple_percent,white_percent,rigorous_instruction,collaborative_teachers,supportive_environment,effective_school_leadership,strong_family_community_ties,trust,disability_percent,poverty_percent,ESL_percent,school_size,student_achievement,reading_scores_exceed,math_scores_exceed,acceptance_rate,percentile
99,0,0,20975.0,22.6,0.4,1.3,98.2,0.0,0.0,3.91,3.68,4.52,3.95,4.45,3.58,17.4,96.0,24.6,224.0,3.62,0.36,0.21,,0-25th
100,8,0,20312.0,22.25,0.4,27.4,68.4,0.8,2.9,4.12,3.27,2.5,3.36,2.74,3.02,22.3,95.4,23.3,722.0,2.29,0.26,0.23,0.0,0-25th
101,10,0,21645.0,22.71,1.5,29.9,66.0,1.4,1.1,4.06,3.74,3.38,2.78,3.13,3.34,20.2,92.4,12.8,792.0,2.19,0.26,0.22,0.0,0-25th
102,9,0,19918.0,25.32,2.8,27.4,66.4,0.8,2.5,2.16,2.75,2.94,3.13,2.74,3.47,24.6,91.2,14.0,708.0,2.97,0.27,0.24,0.0,0-25th
103,0,0,24328.0,17.97,0.0,26.8,70.5,0.4,2.3,3.59,3.78,3.01,3.6,4.07,3.94,24.5,99.2,33.7,261.0,2.05,0.21,0.15,,0-25th
104,8,0,19410.0,26.83,1.5,25.0,71.0,0.6,1.8,4.44,4.58,4.61,4.2,3.18,4.18,26.7,96.4,7.3,659.0,4.06,0.35,0.28,0.0,0-25th
105,18,1,19074.0,25.06,0.6,17.8,80.6,0.3,0.7,4.52,3.84,4.13,2.72,3.36,3.28,21.3,97.4,8.9,684.0,4.34,0.48,0.41,0.06,25-50th
106,0,0,21783.0,19.24,0.3,26.3,71.8,0.3,1.4,2.64,1.92,2.27,2.82,3.36,2.37,27.1,98.0,22.1,358.0,2.18,0.22,0.16,,0-25th
107,6,0,22138.0,19.84,1.2,32.8,64.0,1.2,0.8,2.73,3.36,2.59,3.41,2.79,3.07,31.6,93.3,10.3,253.0,3.18,0.24,0.15,0.0,0-25th
108,9,0,20363.0,18.15,0.4,20.6,76.5,0.8,1.6,3.12,2.47,3.09,2.82,3.47,3.04,27.1,91.1,27.9,247.0,2.61,0.27,0.17,0.0,0-25th
109,31,2,22281.0,22.77,0.7,28.3,69.0,0.7,1.3,4.09,4.41,3.76,4.15,3.61,4.14,25.0,94.3,11.7,300.0,4.3,0.35,0.25,0.06,50-75th
110,0,0,17909.0,19.18,2.2,22.0,73.6,0.8,1.4,3.21,3.84,3.88,3.76,3.89,4.09,21.9,85.4,4.3,508.0,3.32,0.43,0.35,,0-25th
111,0,0,18612.0,12.17,0.3,33.2,62.9,0.7,2.9,4.48,3.52,3.23,3.89,3.62,3.64,30.7,89.8,14.1,590.0,3.26,0.25,0.17,,0-25th
113,96,2,18321.0,25.53,8.2,5.0,62.5,1.5,22.8,3.82,4.02,3.09,3.25,2.96,3.28,19.6,73.0,10.9,1646.0,3.41,0.49,0.45,0.02,75-100th
114,66,7,18173.0,23.14,12.5,9.9,57.0,1.9,18.6,3.67,4.09,3.48,3.8,3.42,3.95,23.8,74.5,1.7,526.0,3.25,0.66,0.59,0.11,75-100th
115,11,0,21408.0,21.96,2.8,23.7,72.4,0.8,0.3,3.21,3.65,2.69,3.64,3.63,3.73,27.3,87.3,26.5,355.0,3.34,0.22,0.15,0.0,25-50th
117,22,1,21401.0,25.0,4.6,32.6,60.7,1.1,1.1,2.94,3.32,2.73,3.54,3.15,3.22,32.8,84.3,12.2,460.0,3.18,0.3,0.19,0.05,25-50th
118,0,0,20045.0,13.5,0.6,19.8,78.4,0.2,1.1,2.56,3.25,3.03,2.99,3.15,3.55,26.3,84.8,13.1,643.0,2.95,0.27,0.18,,0-25th
119,0,0,27706.0,22.65,0.0,40.8,57.1,0.4,1.6,3.22,3.39,2.79,3.6,3.86,3.0,25.3,94.7,26.1,245.0,2.81,0.18,0.15,,0-25th
120,13,0,22320.0,22.69,0.4,21.7,75.8,0.8,1.2,3.97,3.38,3.52,3.9,3.89,3.75,30.7,94.1,26.8,488.0,3.2,0.24,0.16,0.0,25-50th
121,39,2,21495.0,21.27,1.9,23.7,71.8,1.9,0.6,4.84,4.52,3.88,3.72,3.09,3.82,26.6,79.9,13.3,518.0,4.4,0.4,0.32,0.05,50-75th
122,30,2,20453.0,18.2,9.9,28.0,59.2,1.0,1.9,3.28,2.58,2.81,3.03,1.88,2.54,25.2,82.5,9.5,686.0,3.19,0.38,0.29,0.07,50-75th
